Date,AAPL,JPM,MSFT,SPY,XOM
2020-01-02,72.3338623046875,118.43031311035156,152.1584014892578,296.8880920410156,52.947025299072266
2020-01-03,71.63064575195312,116.86746978759766,150.26377868652344,294.6401062011719,52.521358489990234
2020-01-06,72.201416015625,116.77454376220703,150.6521759033203,295.7641296386719,52.924617767333984
2020-01-07,71.86185455322266,114.789306640625,149.27850341796875,294.9325256347656,52.49149703979492
2020-01-08,73.01783752441406,115.6847915649414,151.65631103515625,296.50439453125,51.69990921020508
2020-01-09,74.56877136230469,116.10718536376953,153.5509490966797,298.514892578125,52.095699310302734
2020-01-10,74.73736572265625,114.9498291015625,152.84046936035156,297.65582275390625,51.6326904296875
2020-01-13,76.33407592773438,115.90443420410156,154.6782684326172,299.7029113769531,52.12557601928711
2020-01-14,75.30332946777344,117.256103515625,153.58888244628906,299.2459716796875,51.67750549316406
2020-01-15,74.98062896728516,115.4989242553711,154.58355712890625,299.9222412109375,51.5953483581543
2020-01-16,75.91984558105469,115.94666290283203,157.41600036621094,302.4170837402344,51.39371871948242
2020-01-17,76.7603530883789,116.74919891357422,158.2970733642578,303.3583679199219,51.19955825805664
2020-01-21,76.24017333984375,115.60030364990234,157.72860717773438,302.7642517089844,50.46770095825195
2020-01-22,76.51232147216797,115.46513366699219,156.97076416015625,302.8009033203125,50.17646026611328
2020-01-23,76.88078308105469,115.34684753417969,157.93704223632812,303.14813232421875,49.86281204223633
2020-01-24,76.6592025756836,112.48303985595703,156.34555053710938,300.45220947265625,49.52675247192383
2020-01-27,74.40502166748047,111.5368881225586,153.73094177246094,295.63616943359375,48.346839904785156
2020-01-28,76.5098876953125,113.56437683105469,156.74343872070312,298.7342529296875,48.27962875366211
2020-01-29,78.11144256591797,113.39542388916016,159.18748474121094,298.4873962402344,47.876373291015625
2020-01-30,77.99822235107422,114.79776000976562,163.67779541015625,299.4561462402344,48.38418197631836
2020-01-31,74.53988647460938,111.81566619873047,161.2621612548828,294.0186767578125,46.390262603759766
2020-02-03,74.33515930175781,112.66889953613281,165.1935272216797,296.2027893066406,45.35224151611328
2020-02-04,76.78924560546875,114.29088592529297,170.63108825683594,300.71728515625,44.78467559814453
2020-02-05,77.41543579101562,116.23385620117188,170.4227294921875,304.1899719238281,46.84580612182617
2020-02-06,78.32096862792969,116.25079345703125,173.95619201660156,305.2135925292969,46.211036682128906
2020-02-07,77.25635528564453,115.87907409667969,174.20249938964844,303.5868835449219,45.90484619140625
2020-02-10,77.62329864501953,116.360595703125,178.7591094970703,305.8531799316406,45.4200439453125
2020-02-11,77.15496063232422,116.58023834228516,174.72352600097656,306.3832702636719,45.85182189941406
2020-02-12,78.98722839355469,116.58023834228516,174.97933959960938,308.3572998046875,46.41238021850586
2020-02-13,78.42473602294922,116.47889709472656,174.031982421875,308.02825927734375,46.154823303222656
2020-02-14,78.44408416748047,116.12408447265625,175.5855712890625,308.521728515625,45.94272994995117
2020-02-18,77.00770568847656,114.5865707397461,177.3666229248047,307.7266540527344,45.35944366455078
2020-02-19,78.12300872802734,116.14940643310547,177.89852905273438,309.1979675292969,45.70790100097656
2020-02-20,77.32154846191406,116.14940643310547,175.18177795410156,307.92767333984375,45.344295501708984
2020-02-21,75.57135772705078,114.73015594482422,169.64382934570312,304.7566833496094,44.791324615478516
2020-02-24,71.9816665649414,111.6467056274414,162.32952880859375,294.6492004394531,42.693031311035156
2020-02-25,69.54351043701172,106.66249084472656,159.6508026123047,285.7206726074219,41.056819915771484
2020-02-26,70.64673614501953,106.98348999023438,161.6456298828125,284.66973876953125,40.15537643432617
2020-02-27,66.02867889404297,102.53147888183594,150.2562255859375,271.8847961425781,37.73893737792969
2020-02-28,65.99005889892578,98.0879135131836,153.89437866210938,270.742431640625,38.96610641479492
2020-03-02,72.13378143310547,102.65819549560547,164.13436889648438,282.4673767089844,40.81440734863281
2020-03-03,69.84284973144531,98.80598449707031,156.26910400390625,274.3796081542969,38.86004638671875
2020-03-04,73.08248138427734,101.24742889404297,162.00656127929688,285.9126892089844,39.70845031738281
2020-03-05,70.7119140625,96.28006744384766,157.94094848632812,276.4083557128906,37.95861053466797
2020-03-06,69.77284240722656,91.3042984008789,153.47642517089844,271.83905029296875,36.125450134277344
2020-03-09,64.25437927246094,78.93665313720703,143.07493591308594,250.6099395751953,31.709203720092773
2020-03-10,68.88207244873047,85.06978607177734,152.8589630126953,263.5777282714844,32.88332748413086
